N|O|17|2471035|4|2
N|O|36|5668812|9|6
N|O|8|1230104|10|2
N|O|28|2581656|9|6
N|O|24|2738976|10|4
N|O|32|3382880|7|2
N|O|38|3659628|0|5
R|F|45|4243680|6|0
R|F|49|5346831|10|0
A|F|27|3202956|6|7
A|F|2|238858|1|6
R|F|28|4851924|4|0
A|F|26|3958812|10|2
N|O|30|5345640|3|8
R|F|15|1480620|2|4
R|F|26|2967224|7|8
A|F|50|6381850|8|3
A|F|37|4804043|8|3
N|O|12|2067384|7|3
N|O|9|1219005|8|8
N|O|46|8505124|10|7
N|O|28|4291364|3|4
N|O|38|5397938|8|1
N|O|35|5928265|6|3
N|O|5|737285|4|2
N|O|28|4840696|5|8
N|O|32|6022336|2|0
N|O|2|268488|9|2
N|O|4|371208|9|3
N|O|44|7743340|5|6
N|O|6|610266|4|3
A|F|31|4695291|9|4
A|F|32|4821120|2|5
A|F|5|638185|5|3
R|F|41|5085394|9|0
N|O|13|2320344|0|7
N|O|22|3950958|8|6
N|O|6|958614|2|6
N|O|24|2172000|2|0
N|O|34|5173508|6|8
N|O|7|777140|6|4
N|O|25|4382125|6|5
N|O|34|3744080|8|6
N|O|28|3383240|3|2
N|O|42|4616598|9|0
A|F|40|4508880|9|3
A|F|39|4560114|5|2
A|F|43|4429559|5|8
N|O|44|7307300|4|2
N|O|44|4065688|9|6
N|O|26|4596436|8|4
N|O|46|7266482|6|8
N|O|32|3539840|7|5
N|O|43|6220122|1|1
N|O|40|7379760|6|5
R|F|21|3697806|5|2
A|F|26|3893734|3|3
N|O|22|3607406|0|5
N|O|21|1919421|9|7
R|F|31|3264765|0|8
A|F|41|6710593|4|7
N|O|4|446884|9|4
N|O|12|1322640|9|5
N|O|5|818865|3|7
N|O|44|7818228|8|6
N|O|23|3007020|5|7
N|O|29|4888762|2|5
N|O|3|291321|5|2
N|O|46|7607250|2|5
N|O|46|5751610|4|5
N|O|20|3697880|7|1
N|O|27|4667814|3|6
N|O|30|2781060|5|6
N|O|41|5306999|9|8
A|F|48|5059920|1|7
A|F|32|3017728|8|6
A|F|17|2166429|9|0
R|F|3|382911|9|4
R|F|42|7652064|7|4
A|F|23|2498214|5|0
R|F|8|1234112|3|8
A|F|13|2423148|6|6
R|F|1|170079|3|5
A|F|11|1494295|1|5
R|F|37|4707769|9|4
A|F|19|2769345|6|3
N|O|25|3801550|9|7
N|O|3|468198|9|7
N|O|45|5604030|0|7
N|O|33|6164268|0|1
N|O|39|3642717|8|6
N|O|34|6320430|4|1
A|F|23|2604129|10|6
R|F|30|3766050|1|6
R|F|13|1425047|0|2
A|F|37|5167013|2|6
R|F|19|3187763|6|8
A|F|28|3649520|6|7
A|F|1|99909|0|0
A|F|14|1887816|5|2
A|F|10|1573670|3|3
A|F|10|1772870|2|1
R|F|5|569615|2|7
A|F|42|5217828|2|2
A|F|36|3546288|9|2
N|O|28|4260536|4|5
N|O|22|2334552|0|7
N|O|46|6267316|3|4
N|O|14|1793932|6|3
N|O|37|5311461|5|0
N|O|49|5312482|10|0
N|O|36|5528268|0|1
N|O|12|1543656|6|2
N|O|37|6626293|6|0
N|O|34|5421946|3|8
N|O|25|4314550|1|1
N|O|15|2268915|7|7
N|O|6|1109364|3|5
N|O|37|3718870|2|7
N|O|23|2726144|1|4
N|O|32|3812128|1|7
A|F|38|3686228|6|1
R|F|46|4273492|8|2
A|F|36|6313860|1|2
A|F|33|4274787|4|6
R|F|34|4261390|0|1
A|F|24|2914344|6|0
R|F|22|3677894|6|1
R|F|1|158768|5|4
A|F|14|1666392|8|5
R|F|48|4406448|3|2
A|F|18|1834398|4|8
R|F|13|1375595|9|2
R|F|31|4937339|6|5
R|F|45|7099515|10|2
A|F|50|6717200|2|4
A|F|4|717156|4|3
R|F|18|2351520|0|8
R|F|43|4696417|1|8
A|F|32|3347648|4|4
A|F|23|2716944|10|0
N|O|27|2527281|0|2
N|O|12|1997712|2|6
N|O|29|3117993|9|8
N|O|11|1979879|6|1
A|F|21|1904700|0|3
A|F|35|5420240|6|7
A|F|26|4640688|9|6
A|F|47|6309468|5|0
A|F|12|1502820|5|2
A|F|12|1479996|0|0
N|O|47|4625176|6|8
N|O|21|3960558|0|7
N|O|33|4875981|2|0
N|O|34|5343678|2|3
N|O|20|2528720|1|4
N|O|13|1366495|4|2
N|O|36|3773304|7|1
N|O|22|3882692|0|4
N|O|34|3744080|1|5
A|F|19|1767038|1|1
N|O|2|358978|2|1
N|O|43|6783981|1|0
N|O|13|1441960|1|4
N|O|27|3427272|4|8
N|O|5|914460|2|0
N|O|12|1394712|10|0
N|O|20|3621800|0|7
A|F|26|4718766|9|4
R|F|24|2604432|5|5
R|F|38|4397550|3|6
R|F|32|3443744|5|1
R|F|43|5923121|6|1
R|F|27|2673216|10|4
A|F|23|2141369|9|4
R|F|3|369699|1|8
R|F|43|6530023|8|5
R|F|15|2229870|0|5
A|F|49|6337611|7|6
R|F|27|3921885|1|4
N|O|37|5733668|9|3
N|O|13|2035358|9|5
N|O|41|7781759|7|3
N|O|8|1081160|5|2
R|F|28|2556428|6|1
R|F|27|4367817|9|0
N|O|23|4305531|0|0
