CHINA|5668812|9|41819|36
EGYPT|1230104|10|22493|8
KENYA|2581656|9|63584|28
INDONESIA|2738976|10|52041|24
UNITED STATES|3382880|7|90153|32
UNITED STATES|4243680|6|30712|45
FRANCE|5346831|10|11941|49
EGYPT|238858|1|64244|2
RUSSIA|3958812|10|30819|26
IRAQ|6381850|8|52952|50
VIETNAM|5928265|6|60128|35
ROMANIA|4840696|5|52909|28
CHINA|268488|9|65869|2
KENYA|371208|9|69030|4
GERMANY|610266|4|32208|6
PERU|4695291|9|60466|31
EGYPT|4821120|2|48444|32
CHINA|5085394|9|47188|41
MOZAMBIQUE|2172000|2|5052|24
ALGERIA|3383240|3|16931|28
UNITED STATES|4508880|9|87771|40
PERU|4429559|5|27558|43
VIETNAM|4065688|9|6215|44
MOZAMBIQUE|7266482|6|17754|46
IRAN|3539840|7|36230|32
UNITED KINGDOM|6220122|1|13500|43
MOZAMBIQUE|3893734|3|58257|26
MOROCCO|3607406|0|19783|22
RUSSIA|1919421|9|88950|21
CHINA|446884|9|63764|4
PERU|1322640|9|16045|12
ROMANIA|3007020|5|29433|23
EGYPT|291321|5|23957|3
KENYA|5751610|4|41260|46
ROMANIA|4667814|3|82564|27
GERMANY|382911|9|73193|3
CANADA|2498214|5|1875|23
IRAQ|1234112|3|86426|8
ROMANIA|1494295|1|47155|11
ARGENTINA|4707769|9|37477|37
KENYA|2769345|6|8340|19
BRAZIL|3801550|9|37852|25
JAPAN|468198|9|9173|3
MOZAMBIQUE|5604030|0|99531|45
VIETNAM|5167013|2|8666|37
SAUDI ARABIA|3187763|6|34497|19
MOROCCO|3649520|6|94281|28
UNITED STATES|1887816|5|64177|14
EGYPT|4260536|4|74383|28
BRAZIL|6267316|3|42510|46
EGYPT|1793932|6|1065|14
VIETNAM|5311461|5|38128|37
KENYA|2268915|7|88814|15
UNITED KINGDOM|3718870|2|15862|37
ROMANIA|2726144|1|98375|23
UNITED STATES|3812128|1|27040|32
UNITED STATES|4273492|8|98133|46
ALGERIA|4274787|4|47277|33
CHINA|2914344|6|92367|24
VIETNAM|3677894|6|99119|22
GERMANY|4406448|3|5244|48
CANADA|1834398|4|47364|18
UNITED STATES|4937339|6|27904|31
ETHIOPIA|6717200|2|65033|50
ETHIOPIA|2716944|10|9996|23
PERU|1904700|0|76398|21
GERMANY|1502820|5|75734|12
ARGENTINA|5343678|2|53206|34
PERU|3773304|7|26409|36
MOZAMBIQUE|3744080|1|53411|34
VIETNAM|3427272|4|69031|27
EGYPT|2604432|5|42674|24
ARGENTINA|3443744|5|15738|32
PERU|2141369|9|12099|23
